ID	Nutri
12345	<strong>Výživové údaje na 100 g:</strong><br>Energetická hodnota 1860 kJ/444 kcal, <br>Tuky 13 g, <br>z toho nasycené mastné kyseliny 1,4 g, <br>Sacharidy 69 g, <br>z toho cukry 16 g, <br>Vláknina 5,0 g, <br>Bílkoviny 9,8 g, <br>Sůl 0,07 g, <br>Betaglukany 2,5g  <strong>Výživové údaje na jednu porci 45g:</strong><br>Energetická hodnota 837 kJ/200 kcal, <br>Tuky 5,9 g, <br>z toho nasycené mastné kyseliny 0,6 g, <br>Sacharidy 31 g, <br>z toho cukry 7,2 g, <br>Vláknina 2,3 g, <br>Bílkoviny 4,4 g,<br> Sůl 0,03 g <br> Betaglukany 1,1 g <br>*Příznivého účinku se v rámci zdravého životního stylu a různorodého jídelníčku dosáhne konzumací 3 g betaglukanů z ovsa, ovesných otrub, ječmene a ječných otrub za den.  <strong>Návod k přípravě:</strong>  1. Mysli nasypte do misky. 2. Zalijte mlékem nebo jogurtem. 3. Mysli můžete konzumovat i bez úpravy v suchém stavu. 
0532	Výživové hodnoty na 100g:  Energetická hodnota: 132 kJ/31 kcal;  Tuky 0 g;  z toho nasycené mastné kyseliny 0 g;  Sacharidy: 5,2 g;  z toho cukry 3,8 g;  Bílkoviny: 1,4 g;  Sůl 0,73 g.
112233	Energetická hodnota: 147 kJ/35 kcal; Tuky: 0 g;  z toho nasycené mastné kyseliny: 0 g;  Sacharidy: 5,7 g;  z toho cukry: 4,3 g;  Bílkoviny: 1,5 g;  Sůl 0,95 g.
5566	<strong>Výživové údaje na 100 g směsi:</strong><br>Energetická hodnota 1630 kJ/389 kcal,<br>Tuky 7,6 g,<br>z toho nasycené mastné kyseliny 2,7 g,<br>Sacharidy 63 g,<br>z toho cukry 20 g,<br>Vláknina 8,4 g,<br>Bílkoviny 13 g,<br>Sůl 0,85 g,<br>Betaglukany 2,9 g  <strong>Výživové údaje na jednu porci 55 g:</strong><br>Energetická hodnota 897 kJ/214 kcal,<br>Tuky 4,2 g,<br>z toho nasycené mastné kyseliny 1,5 g,<br>Sacharidy 35 g,<br>z toho cukry 11 g,<br>Vláknina 4,6 g,<br>Bílkoviny 7,2 g,<br>Sůl 0,47 g,<br>Betaglukany 1,6 g  *Příznivého účinku se v rámci zdravého životního stylu a různorodého jídelníčku dosáhne konzumací 3 g betaglukanů z ovsa, ovesných otrub, ječmene a ječných otrub za den. 
99999	Energetická hodnota: 1222 kJ / 290 kcal;  Tuky: 5 g;  z toho nasycené mastné kyseliny: 0,6 g;  Sacharidy: 46 g;  z toho cukry: 22 g;  Vláknina: 12 g;  Bílkoviny: 9,6 g;  Sůl 17 g.
33333	
667788	<strong>Výživové údaje na 100 g:</strong><br>Energetická hodnota 2143 kJ / 512 kcal<br>Tuky 36 g<br>z toho nasycené mastné kyseliny 4,4 g<br>Sacharidy 22 g<br>z toho cukry 5 g<br>Vláknina 21 g<br>Bílkoviny 15 g<br> Sůl 0,34 g 
234543	<strong>Výživové údaje na 100 ml:</strong> Energetická hodnota (kJ/kcal): 74 kJ / 18 kcal Tuky: 0 g z toho nasycené mastné kyseliny 0 g Sacharidy: 4,4 g z toho cukry 4,4 g Bílkoviny: 0 g Sůl: 0 g
445566	<strong>Výživové údaje na 100 g:</strong> Energetická hodnota: 1979kJ/472 kcal;  Tuky: 20 g;  z toho nasycené mastné kyseliny: 2 g;  Sacharidy: 64 g;  z toho cukry: 0,8 g;  Vláknina: 4 g;  Bílkoviny: 6,6 g;  Sůl 1,2 g.

